State,County Code,Year,deaths
AK,2020.0,2003,31
AK,2020.0,2004,26
AK,2020.0,2005,28
AK,2020.0,2006,24
AK,2020.0,2007,37
AK,2020.0,2008,56
AK,2020.0,2009,57
AK,2020.0,2010,33
AK,2020.0,2011,47
AK,2020.0,2012,54
AK,2020.0,2013,44
AK,2020.0,2014,48
AK,2020.0,2015,52
AK,2090.0,2005,11
AK,2090.0,2009,16
AK,2090.0,2013,12
AK,2090.0,2014,12
AK,2122.0,2004,12
AK,2122.0,2009,11
AK,2122.0,2012,11
AK,2122.0,2015,13
AK,2170.0,2003,11
AK,2170.0,2006,13
AK,2170.0,2007,10
AK,2170.0,2008,18
AK,2170.0,2009,15
AK,2170.0,2010,10
AK,2170.0,2011,17
AK,2170.0,2012,21
AK,2170.0,2013,10
AK,2170.0,2014,17
AK,2170.0,2015,13
AL,1003.0,2003,10
AL,1003.0,2004,18
AL,1003.0,2005,14
AL,1003.0,2006,11
AL,1003.0,2007,24
AL,1003.0,2008,19
AL,1003.0,2009,29
AL,1003.0,2010,24
AL,1003.0,2011,23
AL,1003.0,2012,24
AL,1003.0,2013,20
AL,1003.0,2014,32
AL,1003.0,2015,40
AL,1009.0,2008,15
AL,1009.0,2012,15
AL,1009.0,2013,10
AL,1009.0,2014,11
AL,1009.0,2015,11
AL,1015.0,2007,11
AL,1015.0,2008,17
AL,1015.0,2009,12
AL,1015.0,2010,19
AL,1015.0,2011,12
AL,1015.0,2014,19
AL,1015.0,2015,20
AL,1021.0,2006,13
AL,1021.0,2010,10
AL,1043.0,2008,10
AL,1043.0,2011,10
AL,1043.0,2012,12
AL,1043.0,2013,16
AL,1043.0,2014,27
AL,1043.0,2015,11
AL,1049.0,2011,11
AL,1049.0,2012,15
AL,1049.0,2013,20
AL,1049.0,2015,17
AL,1053.0,2009,10
AL,1053.0,2013,12
AL,1053.0,2014,10
AL,1055.0,2008,16
AL,1055.0,2009,14
AL,1055.0,2011,14
AL,1055.0,2013,19
AL,1055.0,2014,17
AL,1055.0,2015,22
AL,1059.0,2013,10
AL,1069.0,2007,10
AL,1069.0,2008,12
AL,1069.0,2009,10
AL,1069.0,2010,13
AL,1069.0,2011,12
AL,1069.0,2013,17
AL,1069.0,2014,12
AL,1069.0,2015,10
AL,1071.0,2012,11
AL,1073.0,2003,37
AL,1073.0,2004,42
AL,1073.0,2005,41
AL,1073.0,2006,55
AL,1073.0,2007,67
AL,1073.0,2008,63
AL,1073.0,2009,90
AL,1073.0,2010,53
AL,1073.0,2011,73
AL,1073.0,2012,65
AL,1073.0,2013,85
AL,1073.0,2014,168
AL,1073.0,2015,154
AL,1077.0,2007,16
AL,1077.0,2008,16
AL,1077.0,2010,10
AL,1077.0,2011,12
AL,1079.0,2009,10
AL,1081.0,2009,10
AL,1081.0,2013,10
AL,1081.0,2014,10
AL,1081.0,2015,14
AL,1083.0,2008,10
AL,1083.0,2009,11
AL,1083.0,2010,13
AL,1089.0,2004,12
AL,1089.0,2005,13
AL,1089.0,2007,11
AL,1089.0,2008,20
AL,1089.0,2009,27
AL,1089.0,2010,28
AL,1089.0,2011,25
AL,1089.0,2012,25
AL,1089.0,2013,19
AL,1089.0,2014,19
AL,1089.0,2015,38
AL,1095.0,2012,11
AL,1095.0,2013,13
AL,1095.0,2014,19
AL,1095.0,2015,24
AL,1097.0,2003,26
AL,1097.0,2004,27
AL,1097.0,2005,22
AL,1097.0,2006,33
AL,1097.0,2007,49
AL,1097.0,2008,49
AL,1097.0,2009,50
AL,1097.0,2010,39
AL,1097.0,2011,43
AL,1097.0,2012,58
AL,1097.0,2013,57
AL,1097.0,2014,54
AL,1097.0,2015,64
AL,1101.0,2004,10
AL,1101.0,2006,12
AL,1101.0,2009,11
AL,1101.0,2010,16
AL,1101.0,2012,15
AL,1101.0,2014,18
AL,1101.0,2015,12
AL,1103.0,2004,11
AL,1103.0,2005,10
AL,1103.0,2006,12
AL,1103.0,2007,15
AL,1103.0,2008,17
AL,1103.0,2009,28
AL,1103.0,2010,13
AL,1103.0,2011,14
AL,1103.0,2012,18
AL,1103.0,2013,18
AL,1103.0,2015,20
AL,1115.0,2007,10
AL,1115.0,2009,11
AL,1115.0,2010,14
AL,1115.0,2011,14
AL,1115.0,2013,17
AL,1115.0,2014,21
AL,1115.0,2015,15
AL,1117.0,2006,17
AL,1117.0,2007,26
AL,1117.0,2008,34
AL,1117.0,2009,28
AL,1117.0,2010,15
AL,1117.0,2011,25
AL,1117.0,2012,34
AL,1117.0,2013,27
AL,1117.0,2014,37
AL,1117.0,2015,38
AL,1121.0,2012,10
AL,1121.0,2013,11
AL,1125.0,2005,10
AL,1125.0,2006,22
AL,1125.0,2007,29
AL,1125.0,2008,31
AL,1125.0,2009,28
AL,1125.0,2010,22
AL,1125.0,2011,21
AL,1125.0,2012,27
AL,1125.0,2013,30
AL,1125.0,2014,22
AL,1125.0,2015,24
AL,1127.0,2005,11
AL,1127.0,2007,19
AL,1127.0,2008,32
AL,1127.0,2009,30
AL,1127.0,2010,32
AL,1127.0,2011,35
AL,1127.0,2012,23
AL,1127.0,2013,26
AL,1127.0,2014,21
AR,5007.0,2005,10
AR,5007.0,2006,10
AR,5007.0,2007,13
AR,5007.0,2008,12
AR,5007.0,2009,15
AR,5007.0,2010,20
AR,5007.0,2011,18
AR,5007.0,2012,19
AR,5007.0,2013,11
AR,5007.0,2014,19
AR,5007.0,2015,30
AR,5031.0,2006,10
AR,5031.0,2008,15
AR,5031.0,2009,20
AR,5031.0,2010,13
AR,5031.0,2011,10
AR,5031.0,2013,10
AR,5031.0,2015,12
AR,5033.0,2008,11
AR,5033.0,2009,13
AR,5033.0,2011,14
AR,5033.0,2013,11
AR,5045.0,2010,11
AR,5045.0,2011,11
AR,5045.0,2012,11
AR,5045.0,2014,13
AR,5051.0,2007,13
AR,5051.0,2008,12
AR,5051.0,2009,12
AR,5051.0,2010,24
AR,5051.0,2011,10
AR,5051.0,2012,10
AR,5051.0,2013,11
AR,5051.0,2014,15
AR,5051.0,2015,16
AR,5085.0,2013,10
AR,5085.0,2014,13
AR,5119.0,2003,18
AR,5119.0,2004,35
AR,5119.0,2005,41
AR,5119.0,2006,32
AR,5119.0,2007,27
AR,5119.0,2008,30
AR,5119.0,2009,28
AR,5119.0,2010,55
AR,5119.0,2011,34
AR,5119.0,2012,40
AR,5119.0,2013,48
AR,5119.0,2014,38
AR,5119.0,2015,36
AR,5125.0,2005,10
AR,5125.0,2006,10
AR,5125.0,2008,11
AR,5125.0,2011,10
AR,5125.0,2012,11
AR,5125.0,2014,13
AR,5131.0,2007,28
AR,5131.0,2008,16
AR,5131.0,2009,16
AR,5131.0,2010,11
AR,5131.0,2011,15
AR,5131.0,2012,22
AR,5131.0,2014,14
AR,5131.0,2015,15
AR,5143.0,2006,10
AR,5143.0,2010,10
AR,5143.0,2011,13
AR,5143.0,2012,10
AR,5143.0,2013,12
AR,5143.0,2014,17
AR,5143.0,2015,16
AZ,4003.0,2003,11
AZ,4003.0,2005,10
AZ,4003.0,2006,13
AZ,4003.0,2007,13
AZ,4003.0,2008,12
AZ,4003.0,2009,14
AZ,4003.0,2010,20
AZ,4003.0,2012,15
AZ,4003.0,2013,11
AZ,4003.0,2014,16
AZ,4003.0,2015,28
AZ,4005.0,2003,11
AZ,4005.0,2008,10
AZ,4005.0,2010,12
AZ,4005.0,2011,16
AZ,4005.0,2013,23
AZ,4005.0,2015,15
AZ,4007.0,2007,10
AZ,4007.0,2013,12
AZ,4007.0,2014,15
AZ,4007.0,2015,12
AZ,4013.0,2003,368
AZ,4013.0,2004,417
AZ,4013.0,2005,464
AZ,4013.0,2006,538
AZ,4013.0,2007,574
AZ,4013.0,2008,526
AZ,4013.0,2009,566
AZ,4013.0,2010,609
AZ,4013.0,2011,627
AZ,4013.0,2012,630
AZ,4013.0,2013,705
AZ,4013.0,2014,695
AZ,4013.0,2015,706
AZ,4015.0,2003,11
AZ,4015.0,2004,10
AZ,4015.0,2005,24
AZ,4015.0,2006,15
AZ,4015.0,2007,19
AZ,4015.0,2008,26
AZ,4015.0,2009,51
AZ,4015.0,2010,67
AZ,4015.0,2011,52
AZ,4015.0,2012,65
AZ,4015.0,2013,61
AZ,4015.0,2014,56
AZ,4015.0,2015,58
AZ,4017.0,2004,12
AZ,4017.0,2006,10
AZ,4017.0,2007,15
AZ,4017.0,2009,17
AZ,4017.0,2010,13
AZ,4017.0,2011,11
AZ,4017.0,2012,17
AZ,4017.0,2013,22
AZ,4017.0,2014,18
AZ,4017.0,2015,10
AZ,4019.0,2003,159
AZ,4019.0,2004,155
AZ,4019.0,2005,173
AZ,4019.0,2006,190
AZ,4019.0,2007,156
AZ,4019.0,2008,116
AZ,4019.0,2009,173
AZ,4019.0,2010,204
AZ,4019.0,2011,184
AZ,4019.0,2012,213
AZ,4019.0,2013,209
AZ,4019.0,2014,222
AZ,4019.0,2015,224
AZ,4021.0,2003,18
AZ,4021.0,2004,17
AZ,4021.0,2005,15
AZ,4021.0,2006,17
AZ,4021.0,2007,34
AZ,4021.0,2008,23
AZ,4021.0,2009,43
AZ,4021.0,2010,45
AZ,4021.0,2011,33
AZ,4021.0,2012,38
AZ,4021.0,2013,41
AZ,4021.0,2014,25
AZ,4021.0,2015,45
AZ,4025.0,2003,15
AZ,4025.0,2004,48
AZ,4025.0,2005,15
AZ,4025.0,2006,17
AZ,4025.0,2007,30
AZ,4025.0,2008,32
AZ,4025.0,2009,39
AZ,4025.0,2010,33
AZ,4025.0,2011,44
AZ,4025.0,2012,66
AZ,4025.0,2013,65
AZ,4025.0,2014,52
AZ,4025.0,2015,56
AZ,4027.0,2005,14
AZ,4027.0,2006,10
AZ,4027.0,2007,17
AZ,4027.0,2009,19
AZ,4027.0,2010,22
AZ,4027.0,2011,20
AZ,4027.0,2012,32
AZ,4027.0,2013,22
AZ,4027.0,2014,35
AZ,4027.0,2015,24
CA,6001.0,2003,107
CA,6001.0,2004,132
CA,6001.0,2005,160
CA,6001.0,2006,163
CA,6001.0,2007,185
CA,6001.0,2008,157
CA,6001.0,2009,143
CA,6001.0,2010,131
CA,6001.0,2011,167
CA,6001.0,2012,133
CA,6001.0,2013,174
CA,6001.0,2014,165
CA,6001.0,2015,198
CA,6005.0,2009,13
CA,6005.0,2014,11
CA,6007.0,2003,40
CA,6007.0,2004,31
